facility_name,facility_id,state,condition_code,num_discharges,footnote,excess_readmit_ratio,predicted_readmit_rate,expected_readmit_rate,num_readmissions,start_date,end_date,condition,data_suppressed,penalty_flag,expected_readmissions,excess_readmissions,excess_readmissions_pos,est_excess_cost_usd,hospital_type,hospital_ownership,city,county,zip_code,ownership_group
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HIP-KNEE-HRRP,,,0.9875,4.5734,4.6311,,2021-07-01,2024-06-30,Hip/Knee Arthroplasty,False,False,,,,,,,,,,Other / Unknown
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,137.0,,0.9531,10.396,10.9078,13.0,2021-07-01,2024-06-30,CABG,False,False,14.943686,-1.9436859999999996,0.0,0.0,,,,,,Other / Unknown
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,273.0,,0.937,13.2998,14.1948,33.0,2021-07-01,2024-06-30,Acute MI,False,False,38.75180400000001,-5.751804000000007,0.0,0.0,,,,,,Other / Unknown
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,122.0,,0.9823,16.6384,16.9389,19.0,2021-07-01,2024-06-30,COPD,False,False,20.665458,-1.665458000000001,0.0,0.0,,,,,,Other / Unknown
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,507.0,,0.9871,15.7529,15.9591,79.0,2021-07-01,2024-06-30,Pneumonia,False,False,80.91263699999999,-1.9126369999999895,0.0,0.0,,,,,,Other / Unknown
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,653.0,,1.0233,20.5695,20.101,136.0,2021-07-01,2024-06-30,Heart Failure,False,True,131.25952999999998,4.740470000000016,4.740470000000016,72055.14400000025,,,,,,Other / Unknown
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-CABG-HRRP,,5.0,,,,,2021-07-01,2024-06-30,CABG,True,False,,,,,,,,,,Other / Unknown
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-AMI-HRRP,,1.0,,,,,2021-07-01,2024-06-30,Acute MI,True,False,,,,,,,,,,Other / Unknown
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,132.0,,0.9308,16.8541,18.108,17.0,2021-07-01,2024-06-30,COPD,False,False,23.90256,-6.902560000000001,0.0,0.0,,,,,,Other / Unknown
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,164.0,,1.0087,20.9512,20.77,35.0,2021-07-01,2024-06-30,Heart Failure,False,True,34.062799999999996,0.9372000000000043,0.9372000000000043,14245.440000000064,,,,,,Other / Unknown
